timestamp,contenedor,cpu_pct,mem_uso,mem_limite,mem_pct,net_io,block_io
2026-07-21 11:43:35,db_admin,0.01%,12.14MiB,15.33GiB,0.08%,"2.05kB / 126B","0B / 8.19kB"
2026-07-21 11:43:35,mysql_replica,9.62%,443.9MiB,15.33GiB,2.83%,"13MB / 21MB","1.04MB / 327MB"
2026-07-21 11:43:35,mysql_principal,24.13%,395.8MiB,15.33GiB,2.52%,"20.5MB / 39.2MB","180kB / 306MB"
2026-07-21 11:43:42,nginx_balancer,3.11%,4.156MiB,15.33GiB,0.03%,"133MB / 134MB","0B / 12.3kB"
2026-07-21 11:43:42,app1,49.37%,38.66MiB,15.33GiB,0.25%,"33.6MB / 79MB","0B / 172kB"
2026-07-21 11:43:42,app2,34.82%,31.07MiB,15.33GiB,0.20%,"22.5MB / 53.1MB","0B / 172kB"
2026-07-21 11:43:42,app3,16.90%,28.38MiB,15.33GiB,0.18%,"11.3MB / 26.7MB","0B / 172kB"
2026-07-21 11:43:42,db_admin,0.00%,12.14MiB,15.33GiB,0.08%,"2.05kB / 126B","0B / 8.19kB"
2026-07-21 11:43:42,mysql_replica,8.98%,443.9MiB,15.33GiB,2.83%,"13.3MB / 21.7MB","1.04MB / 327MB"
2026-07-21 11:43:42,mysql_principal,22.30%,395.5MiB,15.33GiB,2.52%,"21.3MB / 40.6MB","180kB / 307MB"
2026-07-21 11:43:49,nginx_balancer,2.93%,3.656MiB,15.33GiB,0.02%,"138MB / 139MB","0B / 12.3kB"
2026-07-21 11:43:49,app1,74.58%,38.88MiB,15.33GiB,0.25%,"34.7MB / 81.8MB","0B / 172kB"
2026-07-21 11:43:49,app2,30.15%,31.38MiB,15.33GiB,0.20%,"23.4MB / 55.2MB","0B / 172kB"
2026-07-21 11:43:49,app3,12.09%,28.07MiB,15.33GiB,0.18%,"11.7MB / 27.7MB","0B / 172kB"
2026-07-21 11:43:49,db_admin,0.01%,12.14MiB,15.33GiB,0.08%,"2.05kB / 126B","0B / 8.19kB"
2026-07-21 11:43:49,mysql_replica,8.06%,443.9MiB,15.33GiB,2.83%,"13.7MB / 22.5MB","1.04MB / 327MB"
2026-07-21 11:43:49,mysql_principal,24.76%,395.5MiB,15.33GiB,2.52%,"22.1MB / 42.1MB","180kB / 309MB"
2026-07-21 11:43:56,nginx_balancer,3.24%,3.887MiB,15.33GiB,0.02%,"144MB / 145MB","0B / 12.3kB"
2026-07-21 11:43:56,app1,60.08%,38.97MiB,15.33GiB,0.25%,"36.3MB / 85.6MB","0B / 172kB"
2026-07-21 11:43:56,app2,34.84%,31.03MiB,15.33GiB,0.20%,"24.3MB / 57.3MB","0B / 172kB"
2026-07-21 11:43:56,app3,20.17%,28.12MiB,15.33GiB,0.18%,"12.1MB / 28.7MB","0B / 172kB"
2026-07-21 11:43:56,db_admin,0.02%,12.14MiB,15.33GiB,0.08%,"2.05kB / 126B","0B / 8.19kB"
2026-07-21 11:43:56,mysql_replica,11.29%,443.9MiB,15.33GiB,2.83%,"14.2MB / 23.4MB","1.04MB / 327MB"
2026-07-21 11:43:56,mysql_principal,22.46%,396MiB,15.33GiB,2.52%,"22.8MB / 43.5MB","180kB / 311MB"
2026-07-21 11:44:03,nginx_balancer,2.94%,3.887MiB,15.33GiB,0.02%,"149MB / 150MB","0B / 12.3kB"
2026-07-21 11:44:03,app1,47.74%,38.68MiB,15.33GiB,0.25%,"37.7MB / 88.9MB","0B / 172kB"
2026-07-21 11:44:03,app2,34.45%,31.36MiB,15.33GiB,0.20%,"25.2MB / 59.6MB","0B / 172kB"
2026-07-21 11:44:03,app3,16.25%,28.09MiB,15.33GiB,0.18%,"12.7MB / 30MB","0B / 172kB"
2026-07-21 11:44:03,db_admin,0.00%,12.14MiB,15.33GiB,0.08%,"2.05kB / 126B","0B / 8.19kB"
2026-07-21 11:44:03,mysql_replica,9.52%,443.9MiB,15.33GiB,2.83%,"14.6MB / 24.4MB","1.04MB / 327MB"
2026-07-21 11:44:03,mysql_principal,21.91%,395.7MiB,15.33GiB,2.52%,"23.7MB / 45MB","180kB / 312MB"
